0.195557,-1.070557,-0.321777,16.097561,14.756098,22.256098
0.182129,-1.102295,-0.348877,19.268293,13.597561,21.585366
0.161621,-1.117920,-0.356934,22.621951,12.865854,20.304878
0.152344,-1.117188,-0.342773,25.609756,12.743902,18.292683
0.162354,-1.098389,-0.317627,27.682927,13.658537,15.182927
0.190674,-1.057373,-0.302002,28.658537,15.548780,10.914634
0.228516,-0.996582,-0.322754,28.414634,17.926829,5.914634
0.263184,-0.939453,-0.385010,25.914634,20.121951,0.487805
0.276123,-0.926270,-0.460938,19.390244,21.585366,-5.487805
0.264893,-0.960938,-0.554199,9.146341,22.804878,-11.829268
0.243164,-1.000000,-0.677979,-3.231707,24.817073,-18.231707
0.210449,-1.031250,-0.830078,-17.134146,28.597561,-25.365854
0.117920,-1.064941,-0.976807,-30.304878,34.390244,-32.926829
-0.025391,-1.092041,-1.072998,-39.024390,38.963415,-39.329268
-0.142090,-1.095459,-1.108643,-41.829268,39.390244,-42.926829
-0.219482,-1.081787,-1.100098,-39.939024,38.475610,-43.414634
-0.261719,-1.063965,-1.054688,-35.121951,38.353659,-40.304878
-0.269531,-1.055908,-0.988037,-29.756098,39.451220,-33.597561
-0.256348,-1.065918,-0.916748,-24.634146,40.731707,-24.695122
-0.229492,-1.084473,-0.848633,-17.378049,40.182927,-14.756098
-0.187012,-1.095215,-0.783691,-6.463415,36.341463,-3.902439
-0.129639,-1.084473,-0.721680,7.439024,30.792683,7.804878
-0.078125,-1.051758,-0.670166,21.402439,25.853659,19.634146
-0.045654,-0.999512,-0.624512,33.109756,22.560976,30.609756
-0.036865,-0.937500,-0.579590,41.219512,20.792683,39.573171
-0.049805,-0.877930,-0.538574,44.939024,20.426829,45.914634
-0.062256,-0.821045,-0.504395,45.487805,20.548780,50.304878
-0.055420,-0.765381,-0.479248,43.902439,21.707317,53.536585
-0.028320,-0.706543,-0.460938,40.731707,25.243902,55.792683
0.004639,-0.650635,-0.446289,36.219512,32.195122,56.707317
0.020996,-0.591553,-0.433105,31.036585,41.646341,56.402439
0.032471,-0.531738,-0.415771,24.390244,50.060976,54.634146
0.022461,-0.495117,-0.401367,15.487805,56.158537,51.463415
-0.018311,-0.491943,-0.393311,5.670732,60.060976,47.256098
-0.077881,-0.523193,-0.392090,-3.902439,61.646341,42.500000
-0.149414,-0.584717,-0.395752,-11.951220,61.768293,37.621951
-0.224121,-0.665527,-0.399414,-17.012195,60.792683,32.926829
-0.290527,-0.748779,-0.400879,-18.170732,58.780488,28.597561
-0.323975,-0.821533,-0.401123,-15.792683,55.487805,24.329268
-0.316650,-0.882080,-0.395020,-10.853659,51.341463,20.121951
-0.284668,-0.929199,-0.384277,-4.573171,46.890244,16.097561
-0.243164,-0.960938,-0.371826,2.012195,42.317073,12.621951
-0.211426,-0.972656,-0.357178,8.414634,37.439024,10.182927
-0.192871,-0.963867,-0.340332,13.963415,32.073171,8.597561
